Publisher,Count
NBC,1
NCS,1
ND Games,1
NDOORS Interactive,1
NEC,1
Namco Bandai,1
Namco Bandai Games America,1
Neowiz,1
NetDevil,1
NetDragon WebSoft Inc,1
Night Dive Studios,1
Nitro+chiral,1
Noisestorm,1
Nokia,1
Novitas Publishing,1
Number None,1
Nunchuck Games,1
O2 Online Entertainment,1
OOTP Developments,1
ORT Software,1
OSC,1
Oberon Media,1
Oddworld Inhabitants,1
Origin Systems,1
Otaku Publishing Ltd.,1
Ovine by Design,1
Oxeye Game Studio,1
PC Gamer,1
PLAY sp zoo,1
PQube,1
PUBG Corporation,1
Padworld Entertainment,1
Palestar,1
Palladium Interactive,1
Pan Interactive,1
Pan Vision,1
Panasonic Interactive Media,1
Paramount Digital Entertainment,1
ParanGAME,1
Parroty Interactive,1
Pentavision,1
Perfect World Entertainment,1
Phantom EFX,1
Philips Media,1
Pieces Interactive,1
PillowPigGames,1
Pin-Ball Games Ltd.,1
Pinnacle Entertainment Group,1
Piranha Interactive Publishing,1
Pixel Shop Inc.,1
Pixile Studios,1
Plan 1,1
PlayismCoconut Island Games,1
Playmates Interactive,1
PocketGearHandango,1
PolyKid,1
PopCap Game,1
Princess Soft,1
Priority Interrupt,1
Project Two Interactive BV,1
Prolific Publishing,1
Psychic Software,1
Psyonix,1
Q Entertainment,1
QUByte Interactive,1
Quadro Delta,1
Quantic Dream,1
R&P Electronic Media,1
RTL Enterprises,1
Radu Privantu,1
Rage Games Limited,1
Rage Software,1
RakeInGrass,1
Re-Logic,1
ReadySoft,1
ReadySoft Incorporated,1
Reality GapIT Territory,1
Rebellion Developments,1
Recoil Games,1
RedBedlam,1
RedLynx,1
Redshift,1
Reflexive Arcade,1
Respondesign,1
Retro Games,1
Reunion des Musees Nationaux,1
Reverb Triple XP,1
Ritual Entertainment,1
Rocket Science Games,1
Rocketcat Games,1
Rockstar Studios,1
Rondomedia,1
Ronny Wester,1
Roxor Games,1
Runestone Game Development,1
Runic Games,1
Russobit-M,1
Rusty Lake,1
Ruud van Gaal,1
S2 Games,1
SCS Software,1
SCi Games,1
SOFTON Entertainment,1
SSI,1
Sadeness Software,1
Sammy Studios,1
Sanctuary Woods,1
Scandere Software,1
Sci Entertainment,1
Sega Corporation,1
SeithCG,1
Sekai Project,1
Selectsoft Publishing,1
Self-published,1
Seven Lights,1
Shadow Tor Studios,1
Shiny Entertainment,1
Shoeisha,1
Sigma Team,1
Sillysoft Games,1
Silver Sphere Studios,1
SilverLine Software,1
